Distance,Hop,RTT,PLR
400m,1,3483.8412060301507,0.25
400m,1,1809,0.0
400m,1,2799,0.0
400m,1,2954,0.0
400m,1,2937,0.0
400m,1,2806,0.0
400m,1,3595.8412060301507,0.25
400m,1,3377.8412060301507,0.25
400m,1,3576.8412060301507,0.25
400m,1,3615.8412060301507,0.25
400m,1,3371.8412060301507,0.25
400m,1,3437.8412060301507,0.25
400m,1,5301.364824120603,0.5714285714285714
400m,1,3466.8412060301507,0.25
400m,1,3493.8412060301507,0.25
400m,1,4710.523618090452,0.5
400m,1,4690.523618090452,0.5
400m,1,4013.6824120603014,0.4
400m,1,2974,0.0
400m,1,4623.523618090452,0.5
400m,1,3088,0.0
400m,1,2882,0.0
400m,1,2826,0.0
400m,1,4582.523618090452,0.5
400m,1,3521.8412060301507,0.25
400m,1,2979,0.0
400m,1,3465.8412060301507,0.25
400m,1,3484.8412060301507,0.25
400m,1,4600.523618090452,0.5
400m,1,4020.6824120603014,0.4
400m,1,2891,0.0
400m,1,2938,0.0
400m,1,3528.8412060301507,0.25
400m,1,5274.364824120603,0.5714285714285714
400m,1,2916,0.0
400m,1,4007.6824120603014,0.4
400m,1,2979,0.0
400m,1,2922,0.0
400m,1,3548.8412060301507,0.25
400m,1,3584.8412060301507,0.25
400m,1,2858,0.0
400m,1,3525.8412060301507,0.25
400m,1,4638.523618090452,0.5
400m,1,4738.523618090452,0.5
400m,1,3240,0.0
400m,1,4721.523618090452,0.5
400m,1,3981.6824120603014,0.4
400m,1,3489.8412060301507,0.25
400m,1,4593.523618090452,0.5
400m,1,2935,0.0
400m,1,3496.8412060301507,0.25
400m,1,3397.8412060301507,0.25
400m,1,2785,0.0
400m,1,2862,0.0
400m,1,3431.8412060301507,0.25
400m,1,3396.8412060301507,0.25
400m,1,2956,0.0
400m,1,2935,0.0
400m,1,3534.8412060301507,0.25
400m,1,3551.8412060301507,0.25
400m,1,3510.8412060301507,0.25
400m,1,3013,0.0
400m,1,2906,0.0
400m,1,4131.682412060301,0.4
400m,1,2919,0.0
400m,1,2899,0.0
400m,1,3500.8412060301507,0.25
400m,1,3600.8412060301507,0.25
400m,1,6838.888442211055,0.7
400m,1,2925,0.0
400m,1,4525.523618090452,0.5
400m,1,4138.682412060301,0.4
400m,1,2878,0.0
400m,1,4007.6824120603014,0.4
400m,1,2528,0.0
400m,1,3494.8412060301507,0.25
400m,1,3496.8412060301507,0.25
400m,1,2861,0.0
400m,1,2935,0.0
400m,1,2854,0.0
400m,1,3528.8412060301507,0.25
400m,1,3539.8412060301507,0.25
400m,1,2963,0.0
400m,1,2876,0.0
400m,1,2861,0.0
400m,1,2876,0.0
400m,1,4043.6824120603014,0.4
400m,1,2608,0.0
400m,1,4158.682412060301,0.4
400m,1,3508.8412060301507,0.25
400m,1,3002,0.0
400m,1,2983,0.0
400m,1,2935,0.0
400m,1,2907,0.0
400m,1,2905,0.0
400m,1,3474.8412060301507,0.25
400m,1,2889,0.0
400m,1,2881,0.0
400m,1,4034.6824120603014,0.4
400m,1,3515.8412060301507,0.25
400m,1,2829,0.0
400m,1,3435.8412060301507,0.25
400m,1,3579.8412060301507,0.25
400m,1,4092.6824120603014,0.4
400m,1,2819,0.0
400m,1,2921,0.0
400m,1,4649.523618090452,0.5
400m,1,2892,0.0
400m,1,2452,0.0
400m,1,3428.8412060301507,0.25
400m,1,3529.8412060301507,0.25
400m,1,3641.8412060301507,0.25
400m,1,3653.8412060301507,0.25
400m,1,2802,0.0
400m,1,3082,0.0
400m,1,4146.682412060301,0.4
400m,1,3377.8412060301507,0.25
400m,1,2855,0.0
400m,1,2965,0.0
400m,1,4026.6824120603014,0.4
400m,1,2783,0.0
400m,1,2920,0.0
400m,1,3870.6824120603014,0.4
400m,1,2830,0.0
400m,1,3457.8412060301507,0.25
400m,1,2894,0.0
400m,1,3486.8412060301507,0.25
400m,1,2973,0.0
400m,1,3488.8412060301507,0.25
400m,1,2932,0.0
400m,1,3402.8412060301507,0.25
400m,1,4724.523618090452,0.5
400m,1,2676,0.0
400m,1,2583,0.0
400m,1,2879,0.0
400m,1,4020.6824120603014,0.4
400m,1,3037,0.0
400m,1,4423.682412060301,0.4
400m,1,3342,0.0
400m,1,3559.8412060301507,0.25
400m,1,3498.8412060301507,0.25
400m,1,4623.523618090452,0.5
400m,1,2943,0.0
400m,1,2877,0.0
400m,1,2832,0.0
400m,1,2841,0.0
400m,1,3387.8412060301507,0.25
400m,1,3518.8412060301507,0.25
400m,1,3570.8412060301507,0.25
400m,1,2916,0.0
400m,1,2903,0.0
400m,1,3969.6824120603014,0.4
400m,1,2910,0.0
400m,1,2885,0.0
400m,1,3017,0.0
400m,1,2739,0.0
400m,1,2908,0.0
400m,1,4780.523618090452,0.5
400m,1,2798,0.0
400m,1,3994.6824120603014,0.4
400m,1,3548.8412060301507,0.25
400m,1,3027,0.0
400m,1,3525.8412060301507,0.25
400m,1,2933,0.0
400m,1,2877,0.0
400m,1,3248.8412060301507,0.25
400m,1,2952,0.0
400m,1,2834,0.0
